,,#NAME?,,,,Dances,157,10,31,2396,,,,,,,,,,,,,,
Colony,Date,Bee,Entrance_minute,Entrance_second,Exit_minute,Exit_second,Danced,Notes,Loops_wo_waggles,Total_runs,Bout_1,Bout_2,Bout_3,Bout_4,Bout_5,Bout_6,Bout_7,Bout_8,Bout_9,Bout_10,Bout_11,Bout_12,Bout_13,Bout_14
7B,7/20/22,PRR,42,40,43,17,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PRR,48,33,49,11,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PRR,54,42,56,10,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-v,9,57,11,3,0,,3,0,,,,,,,,,,,,,,
7B,7/20/22,PY-v,14,51,15,53,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-v,20,27,21,13,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-v,26,26,27,28,0,excited runs but no clear waggle runs,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-v,32,58,33,41,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-v,38,30,38,43,1,,,2,2,,,,,,,,,,,,,
7B,7/20/22,PY-v,45,6,45,40,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-v,50,11,51,5,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-a,15,45,16,43,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-a,28,56,29,43,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-a,32,3,32,50,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-a,35,8,36,24,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-a,46,52,47,41,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-a,50,41,51,37,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PY-a,54,21,55,26,1,,,13,13,,,,,,,,,,,,,
7B,7/20/22,PY-a,58,14,59,2,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PYY,12,55,13,46,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PYY,19,15,20,47,0,,,0,,,,,,,,,,,,,,
7B,7/20/22,PYY,25,31,26,50,0,,,0,,,,,,,,,,,,,,
