"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Bout_1","Bout_2","Bout_3","Bout_4","Bout_5","Bout_6","Bout_7","Bout_8","Bout_9","Bout_10","Bout_11","Bout_12","Bout_13","Bout_14","Decimal_entrance_time","Total_runs","Decimal_time","Duration","Scent","Site","Density","Flower_number"
"7B","7/20/22","BF.a_7B",13,47,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7833333333333,5,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BF.a_7B",20,11,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.1833333333333,8,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BF.a_7B",25,3,1,1,5,6,1,1,14,1,NA,NA,NA,NA,NA,NA,NA,25.05,29,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BF.a_7B",30,55,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9166666666667,12,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BF.a_7B",36,40,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6666666666667,9,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BF.a_7B",41,42,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,9,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BF.a_7B",47,43,1,8,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7166666666667,21,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BF.a_7B",53,43,1,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.7166666666667,17,6,54,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BG_7B",57,37,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.6166666666667,1,2,58,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BP_7B",10,38,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6333333333333,1,8,52,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BP_7B",24,44,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.7333333333333,11,8,52,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BP_7B",33,26,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4333333333333,18,8,52,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BP_7B",38,12,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.2,9,8,52,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BP_7B",49,15,1,4,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.25,26,8,52,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BP_7B",55,29,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.4833333333333,13,8,52,"Peppermint","Northeast","Low","Low"
"7B","7/20/22","BP.a_7B",27,29,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4833333333333,7,2,58,"Peppermint","Northeast","Low","Low"
