"Colony","Date","Bee","Entrance_minute","Entrance_second","Danced","Decimal_entrance_time","Total_runs","Trial","Day","Scent","Treatment","Setup","Site","Density","Flower_number","Array_time","Duration"
"7B","7/20/22","PRR_7B",31,21,0,31.35,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","PRR_7B",36,53,0,36.8833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","PRR_7B",42,40,0,42.6666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","PRR_7B",48,33,0,48.55,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","PRR_7B",54,42,0,54.7,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",8,52
"7B","7/20/22","PY.v_7B",9,57,0,9.95,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.v_7B",14,51,0,14.85,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.v_7B",20,27,0,20.45,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.v_7B",26,26,0,26.4333333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.v_7B",32,58,0,32.9666666666667,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.v_7B",38,30,1,38.5,2,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.v_7B",45,6,0,45.1,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.v_7B",50,11,0,50.1833333333333,0,"Trial 2",3,"Peppermint","Changing","Density: Low, Number of flowers: Low","Northeast","Low","Low",6,54
"7B","7/20/22","PY.a_7B",15,45,0,15.75,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/20/22","PY.a_7B",28,56,0,28.9333333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/20/22","PY.a_7B",32,3,0,32.05,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/20/22","PY.a_7B",35,8,0,35.1333333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/20/22","PY.a_7B",46,52,0,46.8666666666667,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/20/22","PY.a_7B",50,41,0,50.6833333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/20/22","PY.a_7B",54,21,1,54.35,13,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
"7B","7/20/22","PY.a_7B",58,14,0,58.2333333333333,0,"Trial 2",3,"Clove","Constant","Density: High, Number of flowers: Low","South","High","Low",7,53
